room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1509845,7973319,Private room,Islington,Bunhill,3,5,2,1,114,2,51.525647,-0.102575,35:31.3
1509972,2234,Entire home/apt,Hackney,Stoke Newington,2,4.5,4,2,140,2,51.558895,-0.078846,29:39.9
1510206,4423960,Entire home/apt,Islington,St. Peter's,1,5,2,1,189,1,51.539907,-0.095927,28:31.4
1510425,8066494,Entire home/apt,Tower Hamlets,Spitalfields & Banglatown,24,5,3,1,227,2,51.520375,-0.076032,48:46.8
1510638,8068171,Private room,Islington,Caledonian,34,4.5,2,1,123,1,51.538654,-0.121232,47:09.8
1511291,5602762,Private room,Islington,Finsbury Park,2,5,2,1,95,1,51.564941,-0.106101,20:52.4
1511487,460321,Entire home/apt,Westminster,Westbourne,0,,4,,558,1,51.523436,-0.197986,31:35.5
1512209,2713883,Private room,Newham,Forest Gate North,1,4.5,1,1,47,2,51.547968,0.00956,27:36.9
1512234,2713883,Private room,Newham,Forest Gate North,1,5,2,1,64,2,51.547428,0.008825,35:53.1
1512252,7474135,Entire home/apt,Hackney,Clissold,0,,7,4,662,2,51.561401,-0.081093,23:25.0
1512498,3075700,Private room,Tower Hamlets,Bromley South,1,5,1,1,66,1,51.524319,-0.021448,56:14.1
1512538,8077497,Entire home/apt,Tower Hamlets,Spitalfields & Banglatown,10,4.5,2,1,151,10,51.520839,-0.065033,47:57.1
1512784,4425114,Entire home/apt,Islington,Mildmay,1,,2,,168,1,51.55009,-0.087508,18:48.8
1513041,8009861,Entire home/apt,Lewisham,Brockley,0,,3,,142,3,51.468633,-0.024985,20:53.4
1513185,7956219,Private room,Wandsworth,Northcote,1,5,2,1,114,1,51.45609,-0.167183,07:52.6
1513275,8080824,Entire home/apt,Camden,Hampstead Town,3,4,3,,246,1,51.5573,-0.175906,21:02.1
1513505,3482918,Entire home/apt,Tower Hamlets,Bromley South,2,4,6,2,265,2,51.520701,-0.022425,11:47.9
1513510,3482918,Private room,Tower Hamlets,Mile End,2,4.5,3,1,93,2,51.519713,-0.02523,26:10.6
1513746,8082922,Private room,Westminster,Westbourne,14,5,2,1,123,1,51.524269,-0.191512,30:10.4
1513840,3338830,Entire home/apt,Hackney,Hoxton East & Shoreditch,3,5,2,,180,2,51.524425,-0.082104,50:39.6
1514178,8085022,Entire home/apt,Islington,Caledonian,8,4.5,4,1,142,2,51.536809,-0.120078,40:39.7
1514300,8081142,Private room,Hounslow,Osterley and Spring Grove,0,,2,1,95,1,51.481889,-0.333239,23:26.5
1514303,509373,Entire home/apt,Islington,Clerkenwell,2,4.5,2,1,161,3,51.527595,-0.104081,31:44.8
1514400,425778,Entire home/apt,Hackney,Hoxton East & Shoreditch,19,4.5,2,1,187,1,51.534428,-0.080014,06:59.3
1514450,7255470,Private room,Bromley,Mottingham and Chislehurst North,3,5,2,1,81,12,51.440147,0.040739,27:24.4
1514537,8086685,Private room,Southwark,East Walworth,4,4.5,2,1,93,8,51.491684,-0.095364,33:08.2
1514560,8086893,Private room,Ealing,Ealing Common,17,5,2,1,79,1,51.507895,-0.303656,33:29.1
1514624,3727014,Private room,Hackney,Lea Bridge,0,,1,1,85,1,51.557168,-0.046858,35:29.1
1514634,2234,Private room,Hackney,Stoke Newington,2,5,2,1,93,2,51.557962,-0.079428,03:01.5
1514649,8087304,Entire home/apt,Lambeth,Brixton Hill,2,4.5,2,,132,3,51.460233,-0.116665,46:43.2
1514695,8087544,Entire home/apt,Lambeth,Ferndale,0,,2,1,170,1,51.468615,-0.117546,55:11.6
1514899,8088518,Entire home/apt,Wandsworth,Roehampton and Putney Heath,0,,8,5,397,2,51.446709,-0.239667,28:36.8
1514992,5881527,Private room,Tower Hamlets,Island Gardens,0,,2,1,114,1,51.489265,-0.009491,52:00.6
1515089,3056261,Private room,Hackney,London Fields,5,5,2,1,104,2,51.538944,-0.074758,21:06.9
1516635,5297760,Private room,Southwark,Cathedrals,0,,2,1,62,6,51.504291,-0.097439,51:29.6
1516643,8097977,Private room,Tower Hamlets,Bethnal Green,23,4.5,3,1,123,1,51.52879,-0.051672,12:22.4
1516690,4346785,Entire home/apt,Lambeth,Oval,1,5,8,4,748,7,51.481019,-0.116666,26:12.7
1516796,5722896,Private room,Camden,Regent's Park,9,4.5,2,1,132,2,51.534841,-0.144292,23:54.0
1517086,5595334,Entire home/apt,Westminster,St. James's,7,4.5,8,3,729,2,51.508846,-0.133946,03:13.4
1517093,1432477,Entire home/apt,Hammersmith and Fulham,Avonmore and Brook Green,3,4,6,2,150,2,51.492499,-0.206504,23:44.2
1517404,8101066,Entire home/apt,Camden,St. Pancras and Somers Town,2,5,2,,170,7,51.535787,-0.13647,54:45.5
1517822,6635276,Entire home/apt,Wandsworth,East Putney,7,4.5,6,,303,1,51.454175,-0.20218,28:59.3
1518901,4268383,Entire home/apt,Kensington and Chelsea,St. Helen's,31,4.5,4,2,284,1,51.51816,-0.212915,05:27.2
1519558,8110720,Private room,Tower Hamlets,Weavers,5,4.5,2,1,95,3,51.527384,-0.076345,52:38.4
1519815,3803400,Entire home/apt,Islington,Clerkenwell,7,5,6,2,369,1,51.53101,-0.114619,55:32.8
1520434,6070670,Entire home/apt,Wandsworth,Latchmere,18,4.5,4,2,161,2,51.469417,-0.172326,56:53.6
1520699,8116557,Private room,Wandsworth,Thamesfield,0,,2,1,140,1,51.461118,-0.197267,21:18.9
1520732,2283648,Entire home/apt,Tower Hamlets,St. Peter's,5,5,3,1,227,2,51.524073,-0.057879,54:56.8
1520823,8117178,Entire home/apt,Islington,Caledonian,1,5,2,1,181,5,51.532503,-0.12151,10:47.2
1522102,8123701,Private room,Haringey,West Green,2,5,2,1,72,1,51.591031,-0.095213,08:24.9
1522241,8124301,Entire home/apt,Hackney,Stoke Newington,4,5,2,,148,1,51.563337,-0.074476,36:51.0
1522285,1194074,Private room,Tower Hamlets,St. Katharine's & Wapping,0,,1,1,104,1,51.507142,-0.052436,41:35.7
1522379,8125115,Private room,Barnet,Coppetts,0,,2,1,85,1,51.599758,-0.14577,06:28.6
1522558,7995223,Entire home/apt,Islington,Holloway,0,,3,,114,5,51.547549,-0.122803,30:25.4
1522562,1536410,Entire home/apt,Tower Hamlets,Canary Wharf,8,4.5,5,2,265,3,51.50631,-0.021339,41:44.0
1522948,5951616,Entire home/apt,Wandsworth,Fairfield,1,4.5,5,2,379,4,51.460922,-0.179073,49:04.1
1523048,2962220,Entire home/apt,Westminster,Lancaster Gate,1,5,4,1,208,3,51.512192,-0.183536,26:28.5
1523082,1986348,Private room,Tower Hamlets,Shadwell,6,5,2,1,76,1,51.512862,-0.057123,03:33.3
1523498,3663941,Entire home/apt,Islington,Canonbury,4,5,4,,237,2,51.541277,-0.096428,36:06.7
1523606,1790951,Entire home/apt,Ealing,South Acton,3,4.5,6,2,341,3,51.511803,-0.287992,38:13.0
1523783,7311759,Private room,Kensington and Chelsea,Colville,1,5,1,1,108,1,51.515174,-0.205204,53:51.9
1524025,2213185,Entire home/apt,Westminster,Bayswater,8,4.5,4,1,189,4,51.516023,-0.193876,16:15.6
1524236,2391819,Entire home/apt,Hackney,Hoxton East & Shoreditch,0,,2,1,209,1,51.52774,-0.080424,12:51.1
1524290,6380054,Entire home/apt,Wandsworth,Balham,16,5,4,2,265,2,51.452467,-0.155227,40:07.7
1524350,1432477,Entire home/apt,Kensington and Chelsea,Redcliffe,0,,2,1,282,3,51.483333,-0.188,30:30.9
1524390,8133567,Private room,Brent,Queens Park,2,5,2,1,104,1,51.535605,-0.214979,25:42.5
1524546,8134254,Private room,Kingston upon Thames,Tudor,3,2.5,7,1,55,1,51.430598,-0.311743,40:09.8
1524625,7866206,Entire home/apt,Camden,Kilburn,0,,3,2,170,1,51.539389,-0.193618,23:27.2
1524700,8135197,Entire home/apt,Hackney,Hoxton East & Shoreditch,13,4.5,4,1,227,1,51.535026,-0.085253,54:54.4
1525014,8136915,Entire home/apt,Hammersmith and Fulham,Town,5,4.5,2,1,170,7,51.476881,-0.207026,41:35.6
1525097,5375403,Entire home/apt,Islington,Clerkenwell,40,5,4,1,203,2,51.531152,-0.111749,29:07.1
1525275,5567294,Entire home/apt,Southwark,Surrey Docks,0,,7,2,284,3,51.492684,-0.042617,54:52.4
1525315,2773120,Entire home/apt,Camden,Regent's Park,20,5,8,3,369,2,51.527605,-0.138281,42:58.6
1525640,1790951,Entire home/apt,Ealing,South Acton,6,4.5,4,1,208,3,51.510434,-0.287233,58:25.1
1525664,1283319,Private room,City of London,City of London,21,4.5,2,1,108,3,51.51762,-0.089128,07:40.9
1526786,8146464,Private room,Islington,Hillrise,0,,2,1,73,2,51.571362,-0.134586,44:26.0
1527124,8148086,Private room,Haringey,Seven Sisters,0,,2,1,104,1,51.578567,-0.083562,30:24.3
1527210,8007470,Private room,Brent,Brondesbury Park,3,4.5,4,1,237,2,51.54652,-0.216966,36:29.7
1527255,8148549,Private room,Kensington and Chelsea,Golborne,0,,2,1,151,7,51.519475,-0.209136,41:54.6
1527291,922398,Entire home/apt,Southwark,Cathedrals,0,,6,2,662,3,51.501391,-0.099621,21:38.4
1527582,922398,Entire home/apt,Camden,Camden Town with Primrose Hill,2,4,10,3,776,3,51.542211,-0.140239,03:48.1
1527780,1500977,Entire home/apt,Westminster,Church Street,16,4,4,1,274,2,51.522325,-0.168712,17:13.9
1527957,23675,Private room,Hackney,Stoke Newington,2,5,1,1,66,1,51.562578,-0.077181,35:07.5
1527989,8151750,Private room,Camden,King's Cross,0,,2,1,123,1,51.530101,-0.120643,06:22.9
1528278,6793226,Private room,Hammersmith and Fulham,Munster,7,4,3,1,62,2,51.474269,-0.213013,38:47.2
1528309,2419758,Private room,Camden,Holborn and Covent Garden,49,4.5,3,1,93,1,51.523609,-0.117576,05:16.2
1528349,1432477,Entire home/apt,Westminster,Bayswater,0,,2,1,282,3,51.517521,-0.187538,00:43.0
1528534,8154113,Entire home/apt,Lambeth,Thurlow Park,0,,4,1,189,1,51.447091,-0.103716,38:48.6
1528766,6259592,Entire home/apt,Lambeth,Coldharbour,0,,2,,161,1,51.461135,-0.113052,27:57.9
1529023,2903696,Private room,Camden,Regent's Park,1,5,2,1,187,2,51.526457,-0.144224,31:42.9
1529469,2181526,Entire home/apt,Hackney,Hoxton West,2,3.5,3,1,227,2,51.527995,-0.087888,27:55.1
1529563,8158879,Private room,Lambeth,Tulse Hill,0,,2,1,95,1,51.447528,-0.114293,52:21.4
1529903,1349562,Entire home/apt,Greenwich,Plumstead,3,2,6,2,227,2,51.491322,0.097277,48:51.3
1529962,1349562,Entire home/apt,Greenwich,Thamesmead Moorings,4,2.5,4,2,151,3,51.49261,0.094341,33:06.1
1530163,8161941,Private room,Kingston upon Thames,Beverley,4,4.5,9,1,114,3,51.404114,-0.249173,00:12.9
1530246,2525826,Entire home/apt,Camden,West Hampstead,2,5,2,1,170,1,51.547254,-0.188847,51:49.1
1530338,8162855,Private room,Bromley,Clock House,0,,2,1,93,1,51.400319,-0.041652,11:25.9
1530349,8138871,Private room,Southwark,East Walworth,0,,1,1,66,1,51.492495,-0.084306,44:54.2
1530381,8163091,Entire home/apt,Lewisham,Telegraph Hill,0,,2,1,134,1,51.468293,-0.049923,17:11.3
1531751,7232822,Entire home/apt,Kensington and Chelsea,Holland,4,5,4,2,293,5,51.498235,-0.208906,24:05.8
1531954,8171513,Private room,Islington,Junction,0,,1,1,61,1,51.565056,-0.129714,57:41.1
1532025,2182162,Entire home/apt,Camden,Belsize,6,4.5,4,1,208,3,51.548346,-0.166267,15:55.1
1533122,4688442,Entire home/apt,Westminster,Maida Vale,0,,3,,170,3,51.529044,-0.183595,41:25.7
1533716,691156,Private room,Westminster,Lancaster Gate,2,5,2,1,93,3,51.511371,-0.179665,36:22.4
1533731,7644180,Entire home/apt,Southwark,Cathedrals,3,4,7,,377,2,51.507814,-0.106805,18:43.8
1533784,7976283,Private room,Hammersmith and Fulham,Askew,1,2.5,2,1,114,1,51.502651,-0.2409,43:44.2
1533839,8179965,Entire home/apt,Haringey,Stroud Green,14,5,5,2,170,3,51.57733,-0.108529,17:52.8
1534017,8180894,Entire home/apt,Westminster,Lancaster Gate,9,5,2,,227,2,51.513636,-0.182317,37:30.2
1534095,1312736,Entire home/apt,Hackney,Victoria,0,,3,2,187,1,51.538217,-0.056612,17:54.0
1534143,304771,Entire home/apt,Wandsworth,St. Mary's Park,0,,2,,301,1,51.469497,-0.17876,32:02.3
1534420,4180774,Entire home/apt,Camden,Swiss Cottage,3,5,6,2,521,1,51.543546,-0.179496,33:42.5
1534541,8183759,Entire home/apt,Kensington and Chelsea,St. Helen's,9,5,2,0,189,1,51.517984,-0.216378,11:16.9
1535427,2645566,Private room,Hounslow,Brentford,0,,2,1,62,1,51.489256,-0.302198,45:19.5
1536239,665236,Private room,Westminster,Bayswater,0,,2,1,189,2,51.515451,-0.198924,50:31.4
1536761,632268,Private room,Hackney,Hackney Central,1,4,2,1,114,7,51.549868,-0.064361,16:40.6
1536926,562066,Private room,Islington,Finsbury Park,5,5,2,1,76,2,51.557563,-0.114957,02:36.9
1537214,8196608,Entire home/apt,Westminster,Lancaster Gate,9,4.5,2,1,151,5,51.512601,-0.180322,28:27.9
1537219,4058668,Entire home/apt,Waltham Forest,High Street,24,5,4,2,123,2,51.586097,-0.032188,45:26.6
1537294,8196983,Entire home/apt,Hackney,De Beauvoir,2,5,5,2,303,1,51.537852,-0.080485,20:20.5
1537359,4639819,Entire home/apt,Kensington and Chelsea,Brompton & Hans Town,1,5,4,2,265,2,51.496366,-0.161431,16:59.9
1537401,8197529,Entire home/apt,Westminster,Hyde Park,2,3.5,4,2,355,1,51.513432,-0.164901,16:27.6
1538056,2999259,Entire home/apt,Hammersmith and Fulham,Parsons Green and Walham,15,5,2,1,227,2,51.474858,-0.198391,00:44.2
1538293,8201927,Private room,Hounslow,Syon,0,,2,1,95,2,51.489196,-0.309516,05:37.4
1538458,8063077,Private room,Lambeth,Stockwell,0,,2,1,170,1,51.479625,-0.120771,50:29.3
1538674,4467880,Entire home/apt,Barnet,West Finchley,0,,4,,123,1,51.615513,-0.181705,57:37.6
1538921,1577254,Entire home/apt,Southwark,Chaucer,2,4.5,4,2,284,3,51.495909,-0.099156,29:46.5
1540337,8210740,Private room,Islington,Clerkenwell,10,4.5,2,1,123,1,51.520095,-0.105819,55:31.9
1540429,8211880,Private room,Tower Hamlets,Weavers,0,,3,1,176,3,51.524092,-0.067133,11:30.0
1540451,8212050,Private room,Lambeth,Brixton Hill,0,,2,1,66,1,51.455527,-0.119507,13:15.2
1540471,5459746,Entire home/apt,Islington,Bunhill,2,4,2,1,155,1,51.530446,-0.100432,10:56.4
1540740,8213298,Private room,Tower Hamlets,Whitechapel,32,4.5,2,1,95,1,51.512367,-0.062684,47:19.8
1541264,8215551,Private room,Southwark,Surrey Docks,8,5,2,1,95,2,51.505524,-0.044841,21:18.6
1541765,192750,Entire home/apt,Brent,Kilburn,0,,2,1,189,3,51.538361,-0.196015,49:41.4
1542078,3249740,Entire home/apt,Southwark,East Dulwich,15,4.5,4,1,125,2,51.455674,-0.073153,28:49.6
1542235,8220155,Private room,Hammersmith and Fulham,Addison,50,5,3,1,114,1,51.502255,-0.218059,53:14.0
1542330,6042322,Entire home/apt,Kensington and Chelsea,Redcliffe,26,5,4,2,433,1,51.485494,-0.186817,18:54.2
1542457,8221000,Private room,Camden,King's Cross,3,5,2,1,151,1,51.525053,-0.116207,17:05.8
1542764,2866851,Entire home/apt,Westminster,Westbourne,15,4,4,0,208,1,51.519132,-0.196838,39:47.3
